name,type_name,fuel_common_name,year,control_name,total_travel_percent,source,source_detail,source_url
Passenger cars gasoline 1990 epa tier 0,Passenger cars,gasoline,1990,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1991 epa tier 0,Passenger cars,gasoline,1991,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1992 epa tier 0,Passenger cars,gasoline,1992,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1993 epa tier 0,Passenger cars,gasoline,1993,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1994 epa tier 0,Passenger cars,gasoline,1994,epa tier 0,0.6,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1994 epa tier 1,Passenger cars,gasoline,1994,epa tier 1,0.4,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1995 epa tier 0,Passenger cars,gasoline,1995,epa tier 0,0.2,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1995 epa tier 1,Passenger cars,gasoline,1995,epa tier 1,0.8,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1996 epa tier 0,Passenger cars,gasoline,1996,epa tier 0,0.01,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1996 epa tier 1,Passenger cars,gasoline,1996,epa tier 1,0.97,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1996 low emission vehicles,Passenger cars,gasoline,1996,low emission vehicles,0.02,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1997 epa tier 0,Passenger cars,gasoline,1997,epa tier 0,0.005,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1997 epa tier 1,Passenger cars,gasoline,1997,epa tier 1,0.965,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1997 low emission vehicles,Passenger cars,gasoline,1997,low emission vehicles,0.03,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1998 epa tier 1,Passenger cars,gasoline,1998,epa tier 1,0.87,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1998 low emission vehicles,Passenger cars,gasoline,1998,low emission vehicles,0.13,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1999 epa tier 1,Passenger cars,gasoline,1999,epa tier 1,0.67,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1999 low emission vehicles,Passenger cars,gasoline,1999,low emission vehicles,0.33,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2000 epa tier 1,Passenger cars,gasoline,2000,epa tier 1,0.44,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2000 low emission vehicles,Passenger cars,gasoline,2000,low emission vehicles,0.56,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2001 epa tier 1,Passenger cars,gasoline,2001,epa tier 1,0.03,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2001 low emission vehicles,Passenger cars,gasoline,2001,low emission vehicles,0.97,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2002 epa tier 1,Passenger cars,gasoline,2002,epa tier 1,0.01,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2002 low emission vehicles,Passenger cars,gasoline,2002,low emission vehicles,0.99,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2003 epa tier 2,Passenger cars,gasoline,2003,epa tier 2,0.13,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2003 low emission vehicles,Passenger cars,gasoline,2003,low emission vehicles,0.87,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2004 epa tier 2,Passenger cars,gasoline,2004,epa tier 2,0.59,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2004 low emission vehicles,Passenger cars,gasoline,2004,low emission vehicles,0.41,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2005 epa tier 2,Passenger cars,gasoline,2005,epa tier 2,0.62,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2005 low emission vehicles,Passenger cars,gasoline,2005,low emission vehicles,0.38,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2006 epa tier 2,Passenger cars,gasoline,2006,epa tier 2,0.82,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2006 low emission vehicles,Passenger cars,gasoline,2006,low emission vehicles,0.18,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2007 epa tier 2,Passenger cars,gasoline,2007,epa tier 2,0.96,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2007 low emission vehicles,Passenger cars,gasoline,2007,low emission vehicles,0.04,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2008 epa tier 2,Passenger cars,gasoline,2008,epa tier 2,0.98,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2008 low emission vehicles,Passenger cars,gasoline,2008,low emission vehicles,0.02,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2009 low emission vehicles,Passenger cars,gasoline,2009,low emission vehicles,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 2010 low emission vehicles,Passenger cars,gasoline,2010,low emission vehicles,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
